updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2026-02-06T18:03:36+0000	525.0	xml:S1135	Software_1	0min	CODE_SMELL	COMPLETE		OPEN		MAIN	26a93aff-0835-4089-9aa4-675ab44a40ba	INFO			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	"Complete the task associated to this ""TODO"" comment."	2026-02-06T18:03:36+0000	false	"cwe / "		Software_1:app/pom.xml	false	{startLine=525.0, endLine=525.0, startOffset=8.0, endOffset=45.0}	0min	0e2aa13c5590587301dea163eaa5dd03	OPEN
2026-02-06T18:03:36+0000	696.0	xml:S125	Software_1	5min	CODE_SMELL	CLEAR		OPEN		MAIN	e3928d6f-5dc0-44a9-935d-444c6fc83aa7	MAJOR			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Remove this commented out code.	2026-02-06T18:03:36+0000	false	"unused / "		Software_1:app/pom.xml	false	{startLine=696.0, endLine=714.0, startOffset=20.0, endOffset=36.0}	5min	65769409c7a7a8e06dea9ec1fea8cc51	OPEN
2026-02-06T18:03:36+0000	107.0	java:S1192	Software_1	8min	CODE_SMELL	DISTINCT		OPEN	"{locations=[{component=Software_1:app/src/main/java/org/apache/roller/RollerException.java, textRange={startLine=107.0, endLine=107.0, startOffset=31.0, endOffset=51.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Software_1:app/src/main/java/org/apache/roller/RollerException.java, textRange={startLine=121.0, endLine=121.0, startOffset=22.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Software_1:app/src/main/java/org/apache/roller/RollerException.java, textRange={startLine=135.0, endLine=135.0, startOffset=22.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	24b82741-5ae7-43db-a9de-1e58043b0764	CRITICAL			false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	"Define a constant instead of duplicating this literal ""--- ROOT CAUSE ---"" 3 times."	2026-02-06T18:03:36+0000	false	"design / "		Software_1:app/src/main/java/org/apache/roller/RollerException.java	false	{startLine=107.0, endLine=107.0, startOffset=31.0, endOffset=51.0}	8min	0b1bdbd352797d9d07dc74074a4ac15d	OPEN
2026-02-06T18:03:36+0000	107.0	java:S106	Software_1	10min	CODE_SMELL	MODULAR		OPEN		MAIN	b9d35a13-9b54-4022-9d44-527355c09fe3	MAJOR			false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Replace this use of System.out by a logger.	2026-02-06T18:03:36+0000	false	"bad-practice / cert / "		Software_1:app/src/main/java/org/apache/roller/RollerException.java	false	{startLine=107.0, endLine=107.0, startOffset=12.0, endOffset=22.0}	10min	0b1bdbd352797d9d07dc74074a4ac15d	OPEN
2026-02-06T18:03:36+0000	25.0	java:S1135	Software_1	0min	CODE_SMELL	COMPLETE		OPEN		MAIN	b6888fcf-c695-4305-a604-498c049a9704	INFO			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	Complete the task associated to this TODO comment.	2026-02-06T18:03:36+0000	false	"cwe / "		Software_1:app/src/main/java/org/apache/roller/planet/business/Manager.java	false	{startLine=25.0, endLine=25.0, startOffset=0.0, endOffset=53.0}	0min	4d5d80bc3247fc3a6565b4144b43ecfb	OPEN
2026-02-06T18:03:36+0000	32.0	java:S112	Software_1	20min	CODE_SMELL	COMPLETE		OPEN		MAIN	7425d7d6-901f-4363-856d-004b01f40b29	MAJOR			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Replace generic exceptions with specific library exceptions or a custom exception.	2026-02-06T18:03:36+0000	false	"cwe / error-handling / cert / "		Software_1:app/src/main/java/org/apache/roller/planet/business/Manager.java	false	{startLine=32.0, endLine=32.0, startOffset=29.0, endOffset=38.0}	20min	fac5777d9dca6d685c617bf0edc2285e	OPEN
2026-02-06T18:03:36+0000	64.0	java:S112	Software_1	20min	CODE_SMELL	COMPLETE		OPEN		MAIN	4680ba37-f3d7-4207-9ceb-e5fd22db06bf	MAJOR			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Replace generic exceptions with specific library exceptions or a custom exception.	2026-02-06T18:03:36+0000	false	"cwe / error-handling / cert / "		Software_1:app/src/main/java/org/apache/roller/planet/business/Planet.java	false	{startLine=64.0, endLine=64.0, startOffset=29.0, endOffset=38.0}	20min	fac5777d9dca6d685c617bf0edc2285e	OPEN
2026-02-06T18:03:36+0000	48.0	java:S106	Software_1	10min	CODE_SMELL	MODULAR		OPEN		MAIN	37ec50d1-27ce-4e78-900c-db10ed466587	MAJOR			false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Replace this use of System.out by a logger.	2026-02-06T18:03:36+0000	false	"bad-practice / cert / "		Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java	false	{startLine=48.0, endLine=48.0, startOffset=8.0, endOffset=18.0}	10min	91b10837a08d00b3c5669f35bcdc2b8b	OPEN
2026-02-06T18:03:36+0000	50.0	java:S1192	Software_1	8min	CODE_SMELL	DISTINCT		OPEN	"{locations=[{component=Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java, textRange={startLine=50.0, endLine=50.0, startOffset=31.0, endOffset=51.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java, textRange={startLine=66.0, endLine=66.0, startOffset=22.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java, textRange={startLine=82.0, endLine=82.0, startOffset=22.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	0969147f-e670-4807-ab34-7ebd2cc574ba	CRITICAL			false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	"Define a constant instead of duplicating this literal ""--- ROOT CAUSE ---"" 3 times."	2026-02-06T18:03:36+0000	false	"design / "		Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java	false	{startLine=50.0, endLine=50.0, startOffset=31.0, endOffset=51.0}	8min	0b1bdbd352797d9d07dc74074a4ac15d	OPEN
2026-02-06T18:03:36+0000	50.0	java:S106	Software_1	10min	CODE_SMELL	MODULAR		OPEN		MAIN	e78afb8b-516c-4227-a312-cb4505658cfe	MAJOR			false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Replace this use of System.out by a logger.	2026-02-06T18:03:36+0000	false	"bad-practice / cert / "		Software_1:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java	false	{startLine=50.0, endLine=50.0, startOffset=12.0, endOffset=22.0}	10min	0b1bdbd352797d9d07dc74074a4ac15d	OPEN
